index,name,laDegree,laMinute,loDegree,loMinute
32701,東成瀬,39,10.7,140,38.9
32771,湯の岱,38,57.6,140,31.7
33006,種市,40,24.2,141,42
33026,軽米,40,19.5,141,28
33071,二戸,40,17.9,141,17.9
33086,大野,40,16.9,141,40
33136,山形,40,8.9,141,34.3
33146,久慈,40,10.1,141,44.9
33166,荒屋,40,6.2,141,3
33176,奥中山,40,3.6,141,13.5
33186,葛巻,40,2.4,141,27.4
33201,下戸鎖,40,5,141,42.7
33206,普代,40,0.2,141,53
33226,岩手松尾,39,57.1,141,3.9
33231,一方井,39,58.4,141,10
33296,好摩,39,52.1,141,10
33326,岩泉,39,50.8,141,47.7
33336,小本,39,50.8,141,57.8
33351,葛根田,39,46.6,140,56.7
33361,滝沢,39,46.8,141,5.8
33371,薮川,39,47,141,19.7
33421,雫石,39,41.8,140,58.5
33431,盛岡,39,41.9,141,9.9
33441,区界,39,39,141,21.2
33461,刈屋,39,38.5,141,46.4
33472,宮古,39,38.8,141,57.9
33486,沢内,39,32.9,140,50.6
33501,紫波,39,32.8,141,7.6
33526,川井,39,35.9,141,40.9
33566,豊沢,39,28.8,140,58.1
33576,花巻,39,25.7,141,8.1
33581,大迫,39,28.2,141,16.7
33596,附馬牛,39,27.4,141,30.4
33611,大槌,39,26.3,141,48.4
33616,山田,39,27,141,57.4
33631,湯田,39,18.6,140,46.6
33671,遠野,39,20.3,141,32.6
33686,新町,39,21.6,141,54.3
33711,金ヶ崎,39,13.5,141,0.9
33716,北上,39,17.3,141,6.6
33726,米里,39,14,141,18.6
33751,釜石,39,16.2,141,52.7
33776,若柳,39,8.4,141,3.8
33781,江刺,39,11,141,9.7
33801,住田,39,8.5,141,34.4
33831,祭畤,39,0.7,140,51.9
33841,衣川,39,3,141,2.7
33856,大東,39,2.3,141,17.8
33871,陸前高田,39,1.5,141,37.8
33877,大船渡,39,3.8,141,42.8
33911,一関,38,56,141,7.5
33921,千厩,38,55.3,141,19.8
34012,駒ノ湯,38,54.8,140,49.7
34026,気仙沼,38,54.4,141,33.4
34056,鴬沢,38,48.3,140,56.9
34096,川渡,38,44.6,140,45.6
34111,築館,38,44.1,141,0.3
34171,米山,38,37.6,141,11.3
34186,志津川,38,40.9,141,26.9
34206,加美,38,34.3,140,43.6
34216,古川,38,35.9,140,54.7
34231,桃生,38,33.6,141,14.7
34241,雄勝,38,31.2,141,27.9
34262,泉ケ岳,38,24.4,140,43.3
34266,大衡,38,28.4,140,53.3
34276,鹿島台,38,27.6,141,5.5
34286,東松島,38,25.6,141,12.8
34292,石巻,38,25.6,141,17.9
34296,女川,38,27.2,141,26.4
34311,新川,38,18.2,140,38.2
34331,塩釜,38,20.3,141,0.8
34361,江ノ島,38,23.9,141,35.8
34361,江ノ島,38,23.8,141,35.8
34392,仙台,38,15.7,140,53.8
34431,岩沼,38,6.4,140,52.6
34436,名取,38,8.3,140,55
34461,白石,38,0.9,140,36.7
34462,蔵王,38,7.6,140,40.8
34471,亘理,38,1.5,140,51.5
34506,丸森,37,55.9,140,46.7
34526,筆甫,37,49.6,140,43.7
35002,飛島,39,11,139,32.6
35052,酒田,38,54.5,139,50.6
35056,酒田大沢,38,57.9,139,59.9
35071,差首鍋,38,55.1,140,12
35086,浜中,38,48.7,139,47.2
35116,金山,38,52.7,140,19.9
35141,鶴岡,38,44.1,139,49.7
35146,狩川,38,48,139,58.4
35162,新庄,38,45.4,140,18.7
35171,瀬見,38,45.3,140,24.8
35176,向町,38,45.5,140,31
35201,櫛引,38,40.3,139,50.9
35216,肘折,38,36.4,140,9.8
35231,尾花沢,38,36.5,140,24.7
35246,鼠ケ関,38,34,139,33.1
35256,荒沢,38,30.5,139,46.9
35332,村山,38,27.6,140,20.9
35334,東根,38,24.7,140,22.2
35361,大井沢,38,23.4,139,59.6
35376,左沢,38,22.2,140,11.5
35426,山形,38,15.3,140,20.7
35456,長井,38,6.3,140,0.9
35466,上山中山,38,7,140,12.8
35486,小国,38,4.7,139,44.1
35511,高畠,38,0.2,140,12.4
35537,中津川,37,54.6,139,50.6
35541,高峰,37,59.9,139,57.4
35552,米沢,37,54.7,140,8.6
36056,茂庭,37,53.5,140,26.2
36066,梁川,37,51.1,140,35.3
36081,新地,37,52.5,140,55.1
36106,桧原,37,43.3,140,3.5
36127,福島,37,45.5,140,28.2
36127,福島,37,46.1,140,26.1
36151,相馬,37,47,140,55.5
36176,喜多方,37,39.5,139,51.8
36196,鷲倉,37,40.1,140,15.6
36221,飯舘,37,39.9,140,43.6
36231,原町,37,38.3,140,59
36251,西会津,37,35.3,139,39.4
36276,猪苗代,37,33.1,140,6.5
36291,二本松,37,35,140,25.8
36307,津島,37,33.6,140,45.2
36342,金山,37,28.4,139,31.7
36361,若松,37,29.3,139,54.6
36391,船引,37,26.1,140,34.6
36411,浪江,37,29.5,140,57.9
36426,只見,37,20.6,139,18.8
36461,湖南,37,23.3,140,5.4
36476,郡山,37,22.1,140,19.8
36501,川内,37,20.2,140,48.5
36511,富岡,37,20.8,141,1
36536,南郷,37,15.9,139,32.2
36562,湯本,37,16.6,140,3.8
36571,長沼,37,17.3,140,13.1
36581,玉川,37,13.6,140,25.6
36591,小野新町,37,17.2,140,37.5
36597,川前,37,14.8,140,43.4
36611,広野,37,14,141,0
36641,田島,37,12.4,139,47.7
36667,白河,37,7.9,140,12.9
36676,石川,37,8.8,140,27.6
36716,桧枝岐,37,0.6,139,22.5
36726,舘岩,37,5.5,139,31.9
36766,古殿,37,5.4,140,33.6
36781,平,37,3.9,140,52.6
36821,東白川,36,56.3,140,24.5
36836,山田,36,56,140,44
36846,小名浜,36,56.8,140,54.2
36846,小名浜,36,57.8,140,53
40041,花園,36,52.1,140,38.2
40046,北茨城,36,50,140,46.3
40061,大子,36,46.7,140,20.7
40066,徳田,36,46.7,140,28.9
40076,大能,36,44.6,140,35.6
40091,常陸大宮,36,36.4,140,19.5
40126,中野,36,30.9,140,28.4
40136,日立,36,34.8,140,38.7
40181,門井,36,20,140,2
40191,笠間,36,23.7,140,14.4
40201,水戸,36,22.8,140,28
40221,古河,36,12.1,139,43
40231,下館,36,16.9,139,59.3
